"model","year","transmission","mileage","fuelType","tax","mpg","engineSize","price"
3,2016,2,34623,2,125,57.6,2,16300
3,2017,1,29968,2,30,64.2,2,14800
3,2017,2,27748,2,200,49.6,3,19700
3,2015,2,47288,2,30,62.8,2,14450
5,2016,2,64117,2,30,65.7,2,13500
5,2015,2,79563,2,125,60.1,2,10900
3,2016,1,34842,2,30,67.3,2,12200
2,2016,1,24313,2,0,74.3,1.5,10600
2,2015,1,40789,2,0,74.3,1.5,9100
3,2017,2,66743,2,30,67.3,2,12600
5,2016,2,65612,2,30,62.8,2,13600
1,2016,1,21390,2,20,72.4,1.5,11700
3,2017,2,72065,2,20,70.6,2,12450
5,2016,2,62444,2,125,60.1,2,13500
18,2013,2,71558,2,160,50.4,2,12750
16,2017,2,34666,2,145,65.7,2,16700
1,2016,1,22920,2,20,72.4,1.5,11400
20,2016,2,71626,5,0,85.6,2,21000
16,2017,1,38405,2,145,68.9,2,14700
3,2018,2,20681,2,145,64.2,2,19000
3,2017,2,20529,2,145,65.7,2,15400
18,2016,2,42691,2,145,54.3,2,19000
1,2018,2,10058,1,145,37.2,1.5,15000
3,2016,2,40337,2,145,53.3,3,17950
5,2018,2,23195,2,145,65.7,2,22600
1,2017,1,17117,1,145,53.3,1.5,13200
3,2017,1,22153,2,150,68.9,2,12750
3,2015,1,56038,2,20,68.9,2,9750
3,2017,2,78345,2,0,74.3,2,10900
19,2016,2,31084,2,145,54.3,2,21400
1,2017,2,5615,1,145,58.9,1.5,14600
3,2017,2,55751,1,150,51.4,1.5,12600
19,2017,2,35016,2,150,54.3,2,22500
1,2016,1,81579,2,0,83.1,1.5,8000
16,2017,1,31518,2,145,60.1,2,14800
1,2016,1,44008,2,0,83.1,1.5,9900
2,2016,1,59509,2,20,68.9,2,9500
3,2017,2,43703,5,140,134.5,2,17950
1,2016,2,36858,2,125,60.1,2,14200
1,2016,2,25786,2,0,74.3,2,12100
1,2016,2,24592,2,20,68.9,2,12700
1,2016,1,51002,2,0,83.1,1.5,8800
1,2017,2,26052,2,145,68.9,2,15000
3,2017,2,31528,2,145,64.2,2,17100
18,2017,2,25776,2,200,47.9,3,21750
1,2016,1,18055,1,125,52.3,1.5,13400
3,2014,2,63223,2,20,68.9,2,9900
1,2016,1,8719,1,125,52.3,1.5,13700
4,2018,2,27133,1,145,44.8,2,16900
5,2018,2,21947,2,150,68.9,2,21950
16,2013,1,80625,2,160,51.4,2,8750
3,2017,2,31501,5,0,134.5,2,17000
1,2016,2,8707,1,30,55.5,1.5,13750
1,2017,1,10861,1,125,53.3,1.5,12800
4,2017,1,16359,1,145,46.3,2,16000
4,2017,2,46913,2,145,65.7,2,16600
3,2017,1,37747,2,125,60.1,2,15100
4,2017,1,24882,1,145,46.3,2,16750
1,2015,1,24474,1,125,52.3,1.5,12450
3,2018,2,29394,1,145,48.7,2,15700
5,2016,1,59528,2,125,60.1,2,12600
2,2016,1,15577,1,160,44.1,2,14600
16,2016,1,52226,2,20,68.9,2,13700
3,2017,2,12330,2,30,64.2,2,16900
4,2015,3,62943,2,30,65.7,2,15998
16,2020,3,1560,2,145,60.1,2,31498
2,2020,1,1580,1,150,43.5,1.5,27998
20,2020,3,1500,2,150,37.7,3,54998
3,2014,1,11545,1,165,44.8,2,11998
2,2020,2,3160,3,140,113,1.5,25998
1,2020,3,1560,2,150,48.7,2,31998
17,2020,1,1850,2,150,49.6,2,29998
19,2019,3,7272,2,150,42.8,2,33998
19,2019,3,7272,2,150,42.8,2,33998
1,2017,1,19866,2,30,65.7,2,14995
4,2016,3,22476,1,145,48.7,2,17995
1,2013,3,42786,1,235,37.7,3,14498
1,2015,1,42410,2,30,65.7,2,10998
5,2014,3,60681,2,125,57.6,2,11998
16,2016,1,57717,2,125,58.9,2,14498
3,2017,3,8096,1,145,51.4,2,16998
1,2015,1,49151,2,30,62.8,2,11498
21,2017,3,40429,2,200,47.1,3,29498
13,2016,3,21107,1,300,34,3,31498
1,2016,3,33043,1,200,39.8,3,19498
16,2016,3,50378,2,125,57.6,2,17998
5,2019,3,11115,2,145,65.7,2,25998
16,2013,1,69020,2,125,57.6,2,8298
8,2019,3,2650,2,145,39.8,3,61898
1,2014,1,55834,1,300,35.3,3,13298
3,2019,3,5761,2,150,55.4,2,21898
1,2017,3,47110,2,0,78.5,1.5,11498
18,2014,3,54075,2,145,54.3,2,17495
5,2015,3,45152,2,30,62.8,2,14998
2,2014,1,52091,2,125,58.9,2,10498
1,2019,3,4812,1,145,47.9,2,19998
16,2016,3,37272,1,160,44.8,2,16698
3,2019,3,4250,2,145,48.7,2,27998
5,2018,3,15711,2,145,60.1,3,27798
1,2016,1,21236,1,260,36.2,3,18298
1,2017,3,24008,1,145,55.5,1.5,14698
16,2016,3,25994,2,145,55.4,2,18498
20,2015,2,24188,2,200,47.1,3,27998
20,2015,2,59216,2,200,47.9,3,21498
1,2017,1,21171,1,260,36.2,3,19498
1,2017,1,24259,1,145,52.3,1.5,14498
5,2017,3,19379,2,145,65.7,2,22998
1,2017,1,20790,2,145,70.6,1.5,14498
5,2019,3,2743,2,145,60.1,2,29898
3,2019,3,6000,1,145,48.7,2,22998
3,2019,1,3980,2,145,53.3,2,29998
4,2019,3,101,2,145,60.1,2,29898
5,2017,3,12725,2,145,68.9,2,20498
3,2019,3,18200,2,150,48.7,2,27650
24,2016,3,25300,1,205,41.5,2,18650
4,2018,2,7200,1,145,48.7,2,22995
21,2018,3,6100,2,145,47.1,3,36995
5,2018,2,6800,2,145,68.9,2,26995
1,2013,1,31600,2,125,57.6,2,11995
5,2018,3,8700,2,145,49.6,2,25995
21,2016,2,43600,2,200,44.8,3,29995
3,2018,3,16452,1,150,48.7,2,21495
5,2017,2,15838,2,145,60.1,2,22998
5,2019,2,6775,2,145,51.4,3,34498
1,2019,3,11234,2,145,68.9,2,18498
7,2019,3,5893,2,145,44.1,3,45898
18,2019,3,9781,2,145,48.7,3,37898
20,2016,2,17303,3,0,85.6,2,34498
1,2016,1,25334,1,300,35.3,3,17998
3,2016,3,36501,2,145,53.3,3,18498
2,2019,3,2318,1,145,47.9,2,23998
16,2017,3,14418,2,145,55.4,2,21498
16,2017,3,12160,2,145,65.7,2,18500
18,2018,3,20290,2,145,48.7,3,31000
16,2016,3,13690,2,125,57.6,2,19500
20,2017,2,22158,2,205,47.1,3,34000
20,2015,2,36174,2,205,47.1,3,28000
3,2018,3,30000,2,150,53.3,3,22000
1,2016,1,40125,1,305,35.3,3,16000
3,2017,1,20087,1,165,44.8,2,18000
22,2020,3,5000,2,150,31.4,3,78000
3,2018,3,11150,1,145,48.7,2,22500
1,2018,1,5827,1,145,37.7,1.5,15500
4,2019,3,14000,2,145,50.4,3,29000
4,2019,3,5196,2,145,65.7,2,24700
2,2019,3,2500,1,145,39.2,1.5,24000
1,2018,1,7000,2,145,50.4,1.5,16000
18,2019,3,26,1,145,24.8,3,56000
1,2019,3,4493,1,145,34.5,2,32000
16,2018,3,10545,2,145,60.1,2,20000
16,2017,3,16500,1,145,44.8,2,22000
3,2016,3,43695,3,0,134.5,2,16998
18,2015,3,48867,2,145,54.3,2,17498
1,2017,3,23157,1,145,54.3,1.5,15798
16,2016,3,30434,2,125,57.6,2,18998
3,2015,3,39700,2,160,50.4,3,20000
5,2019,3,5739,2,145,62.8,2,28000
20,2017,2,18000,2,145,42.8,3,41500
1,2018,3,24275,2,145,68.9,1.5,16000
4,2017,3,14774,2,125,58.9,2,20800
3,2018,3,12133,1,145,48.7,2,20500
1,2017,1,15645,1,125,52.3,1.5,15500
19,2016,3,25085,2,200,47.9,3,25000
1,2017,3,19486,1,145,39.8,3,21500
17,2019,3,5431,2,145,48.7,2,30000
7,2020,3,6555,2,145,42.2,3,53000
3,2014,3,73923,2,160,52.3,3,14000
1,2018,3,6500,1,150,32.5,3,25990
19,2018,3,10920,2,150,42.8,2,32000
3,2019,3,8000,1,150,44.8,2,24300
5,2019,3,12250,2,150,53.3,3,33000
18,2016,3,37000,2,145,54.3,2,20500
3,2016,3,40500,2,145,53.3,3,19000
3,2017,3,33000,2,145,60.1,2,18000
13,2020,3,2000,1,145,32.5,3,51000
18,2015,3,48000,2,145,54.3,2,16500
4,2017,1,17410,1,150,40.9,2,19800
1,2017,1,25975,1,145,53.3,1.5,13500
1,2019,3,12054,1,150,54.3,1.5,18500
1,2014,1,51203,2,30,65.7,2,9300
20,2019,3,5145,2,150,37.7,3,50000
1,2017,1,23274,2,20,72.4,1.5,11800
4,2018,3,10948,2,145,60.1,2,22000
2,2019,3,7000,1,145,38.2,3,27500
5,2019,3,16000,2,145,60.1,3,28000
2,2020,1,5550,1,145,43.5,1.5,29000
3,2014,3,50687,2,160,52.3,3,16800
3,2013,3,46500,2,150,55.4,3,15500
16,2016,3,25300,2,125,60.1,2,19300
1,2017,3,12458,2,30,62.8,2,16998
1,2017,3,21200,1,200,39.8,3,21498
4,2016,3,20151,2,145,53.3,3,18998
16,2017,1,13278,2,125,58.9,2,18498
5,2019,3,9000,1,145,48.7,2,27000
2,2018,3,13174,2,145,49.6,2,18000
7,2016,3,39085,2,145,54.3,3,26000
3,2017,3,14834,2,145,51.4,3,25500
3,2016,3,15088,2,145,55.4,3,18000
1,2017,3,16761,2,145,67.3,2,16800
3,2018,3,18564,2,145,60.1,2,21300
17,2019,3,1418,1,145,36.2,2,29000
3,2019,3,5525,2,145,50.4,2,34000
3,2017,3,15338,2,145,49.6,3,24000
3,2013,3,35500,2,145,55.4,2,14990
5,2017,3,11086,2,145,53.3,3,30000
1,2018,3,11132,1,145,55.5,1.5,15800
1,2018,3,7656,1,145,37.2,1.5,16500
18,2015,3,41567,2,145,54.3,2,19500
5,2019,3,1034,1,145,39.2,3,40000
1,2017,3,20294,1,200,39.8,3,21800
3,2017,3,30422,2,145,51.4,3,20998
3,2017,3,20313,2,145,56.5,3,19698
3,2016,3,28775,2,160,51.4,3,21498
3,2015,3,6147,1,145,47.9,2,17200
20,2013,2,45150,2,200,45.6,3,24000
1,2019,1,2073,2,145,57.7,1.5,26000
4,2020,3,25,1,145,48.7,2,27000
4,2020,3,25,2,145,60.1,2,27500
20,2019,3,6500,2,145,37.7,3,52000
4,2019,3,4025,2,145,50.4,3,32000
2,2015,1,27221,2,0,74.3,1.5,10498
3,2013,1,75561,2,20,68.9,2,9985
19,2015,1,53755,2,160,52.3,2,19485
3,2013,3,95043,2,30,62.8,2,9965
16,2014,3,56952,2,160,52.3,2,10985
1,2017,3,59066,2,20,72.4,1.5,13489
3,2016,3,46889,2,30,67.3,2,13994
5,2019,3,5137,2,145,51.4,3,35950
4,2019,3,8794,2,145,60.1,2,25490
5,2019,3,9854,2,145,53.3,3,34900
7,2018,3,7123,2,145,52.3,3,42000
1,2014,1,41500,2,125,57.6,2,12000
1,2016,1,24678,2,30,65.7,2,14000
13,2019,3,2258,1,145,34,3,48000
2,2019,3,4413,2,145,46.3,2,23950
4,2019,3,7292,2,145,58.9,2,26550
16,2016,3,46354,2,125,57.6,2,18000
6,2018,3,21525,2,150,49.6,3,27990
1,2017,1,15663,1,150,53.3,1.5,13450
20,2017,2,18000,2,200,47.1,3,34990
4,2020,3,17,2,145,60.1,2,29500
5,2019,3,3816,2,145,62.8,2,28500
5,2019,3,4405,1,145,48.7,2,26000
17,2019,1,4825,2,145,49.6,2,27000
4,2019,3,4406,2,145,60.1,2,27000
3,2019,3,11564,2,145,49.6,2,33000
17,2019,3,10,1,145,34,2,32000
5,2016,3,51700,2,30,65.7,2,14495
3,2013,3,55701,1,145,47.9,1.6,9498
1,2018,3,11131,1,145,39.8,3,23498
3,2020,3,5000,2,150,43.5,3,51000
18,2016,3,25000,2,150,54.3,2,22000
1,2017,3,18100,1,150,39.8,3,23000
21,2018,3,7427,2,145,40.9,3,39990
3,2017,3,43362,2,145,56.5,3,17000
1,2017,1,18435,1,125,53.3,1.5,11990
1,2019,3,5000,2,145,72.4,1.5,16500
19,2018,3,4135,2,145,37.2,3,40000
1,2019,3,1214,2,145,51.4,2,27000
14,2019,3,3545,1,145,24.1,4.4,72000
3,2017,3,43267,2,145,62.8,2,19650
20,2020,3,3500,2,145,33.6,3,60990
4,2019,3,5623,2,145,65.7,2,22500
13,2018,3,2577,1,150,34,3,43500
2,2015,3,43617,1,265,37.2,3,18700
20,2015,2,52936,2,205,47.1,3,26000
7,2017,3,25000,2,150,53.3,3,34000
3,2014,3,56000,2,150,55.4,2,15000
3,2017,3,20000,2,150,62.8,2,18300
4,2015,3,87597,2,160,51.4,3,15990
3,2013,1,74449,1,200,41.5,2,9995
17,2019,3,3241,1,150,40.4,2,23498
3,2019,3,3500,2,145,45.6,3,34450
22,2019,3,5600,2,150,33.6,3,67400
7,2019,3,7780,1,145,34.5,3,47990
18,2020,3,4500,2,150,54.3,2,35900
4,2016,3,24188,2,145,55.4,3,18498
16,2017,3,26939,2,145,65.7,2,18998
16,2018,3,17276,1,150,46.3,1.5,16995
3,2017,3,26252,2,145,51.4,3,20998
3,2017,3,19675,1,125,51.4,2,15998
1,2019,3,100,2,150,48.7,2,29000
20,2019,3,6000,2,150,37.7,3,51000
20,2017,2,30207,2,200,47.1,3,29945
5,2018,3,28502,2,145,65.7,2,24595
5,2014,3,73837,2,160,51.4,3,13990
3,2017,3,48604,2,30,67.3,2,14990
5,2017,3,33492,2,145,60.1,2,22990
5,2013,3,83380,2,125,57.6,2,10495
4,2018,3,18937,1,145,48.7,2,22595
3,2019,3,2460,2,145,53.3,2,27995
16,2016,3,48697,2,125,57.6,2,17298
16,2018,3,17276,1,150,46.3,1.5,16995
16,2017,1,23692,2,125,58.9,2,17995
5,2017,3,25260,2,145,60.1,2,21998
16,2017,3,25291,2,30,65.7,2,16698
1,2015,3,37634,2,30,64.2,2,12298
1,2017,1,34446,2,145,65.7,2,13798
1,2018,1,19995,1,145,37.7,1.5,14000
4,2018,1,24848,1,145,36.7,3,24000
13,2020,3,700,1,145,34,3,50000
4,2018,3,4038,1,150,45.6,2,21500
3,2016,3,31250,2,165,51.4,3,22000
5,2015,3,64194,2,165,51.4,3,16000
3,2015,3,38218,2,165,51.4,3,18500
3,2019,2,6148,2,145,52.3,2,28000
3,2018,2,13430,2,145,49.6,3,27000
18,2015,3,35500,2,200,47.9,3,17000
18,2014,3,56787,2,150,54.3,2,14495
1,2016,3,13369,2,20,68.9,1.5,16200
2,2018,3,3764,1,145,53.3,1.5,19000
4,2017,1,13471,1,145,46.3,2,17495
10,2016,2,10087,3,0,134.5,1.5,48998
19,2018,3,5000,2,145,40.4,3,36000
13,2020,3,40,1,145,34,3,43000
3,2020,3,2000,2,145,47.9,3,40000
7,2019,3,7970,2,145,44.8,3,49000
11,2016,3,14712,1,260,35.8,3,31000
22,2019,3,4900,2,145,33.6,3,67000
5,2018,3,9671,1,145,39.2,3,30500
2,2019,3,2070,1,145,40.9,1.5,21500
3,2016,3,49104,2,160,51.4,3,19500
1,2016,3,42792,1,200,39.8,3,19000
2,2019,3,5555,1,145,38.2,3,30000
5,2019,3,3555,2,145,51.4,3,42500
3,2016,3,16890,2,160,51.4,3,22500
2,2020,3,5550,1,145,36.2,2,36000
3,2018,3,23555,2,145,49.6,3,25000
2,2018,1,2683,1,145,44.1,1.5,14998
16,2017,3,46622,2,125,57.6,2,16998
3,2016,3,46392,2,0,74.3,2,13298
3,2013,3,73845,2,145,54.3,3,12298
5,2018,3,14052,2,145,62.8,2,23998
3,2019,3,21165,2,145,48.7,2,26498
4,2019,3,19856,2,145,65.7,2,21998
3,2019,3,11974,2,145,54.3,2,23298
1,2015,1,31652,2,30,62.8,2,13500
2,2018,2,6079,2,145,51.4,2,17500
1,2019,1,7000,2,145,68.9,2,16600
2,2016,3,10250,2,30,62.8,2,16450
20,2019,3,4860,2,145,37.7,3,49000
16,2019,2,2984,2,145,60.1,2,25500
3,2016,1,30679,2,125,62.8,2,14000
6,2017,3,21083,2,145,51.4,3,27500
1,2017,1,16423,2,150,72.4,1.5,13500
4,2019,1,4000,2,150,55.4,2,25000
3,2019,3,15114,2,150,49.6,3,32000
5,2017,3,9750,2,150,56.5,3,30000
5,2017,3,38649,2,145,65.7,2,21900
3,2019,3,4600,2,145,49.6,2,34900
1,2019,3,14822,2,145,60.1,2,22700
17,2018,3,12887,2,145,61.4,2,23900
4,2019,3,8142,2,145,52.3,3,27450
20,2019,3,9584,2,145,37.7,3,46600
4,2019,3,7667,2,145,58.9,2,26800
1,2015,3,25499,2,125,60.1,2,16450
16,2019,1,3715,2,145,68.9,2,25000
17,2019,2,49,2,145,50.4,2,27000
3,2019,2,5557,2,145,49.6,2,32000
2,2019,3,2380,1,145,40.9,1.5,21000
2,2019,1,3078,1,145,39.8,1.5,21000
2,2019,1,1251,1,145,42.8,1.5,21000
2,2019,3,2664,1,145,50.4,2,23500
2,2019,1,1612,1,145,42.8,1.5,20500
4,2018,3,6668,2,145,65.7,2,20500
2,2019,2,6679,1,145,47.9,2,20500
2,2019,2,1689,1,145,50.4,2,20500
5,2017,3,24769,2,145,60.1,3,24998
4,2018,3,26706,2,150,58.9,2,20990
18,2016,3,12996,2,150,54.3,2,18990
2,2019,1,1501,1,145,42.8,1.5,19500
2,2019,3,2164,2,145,49.6,2,23500
13,2020,3,30,1,145,34,3,48000
5,2019,2,3388,2,145,60.1,3,29500
2,2015,1,28410,1,30,57.6,1.5,12000
2,2019,2,477,1,145,47.9,2,24000
5,2019,2,10654,2,145,60.1,2,30000
17,2019,2,2472,2,145,48.7,2,29000
4,2019,3,1000,2,150,60.1,2,25450
17,2018,3,7100,2,150,61.4,2,24490
16,2014,3,49400,2,165,51.4,2,12490
2,2019,3,9014,2,145,49.6,2,19750
5,2017,3,23291,2,145,65.7,2,21900
16,2018,3,12710,1,145,44.8,2,21500
3,2018,3,9329,2,145,51.4,3,27500
20,2018,2,20630,2,145,47.1,3,34756
1,2017,3,15907,1,150,39.8,3,21514
16,2016,3,24347,2,150,55.4,2,18998
1,2019,1,2574,1,145,44.1,1.5,22000
1,2019,1,1906,1,145,44.1,1.5,21000
3,2019,3,1397,2,145,50.4,2,31000
20,2014,2,38389,2,200,47.1,3,25000
5,2018,3,23650,2,145,53.3,3,23500
1,2013,1,48255,2,30,62.8,2,10500
3,2013,3,21940,2,125,58.9,2,15000
19,2020,3,857,2,145,40.9,3,43000
3,2018,3,19950,2,145,65.7,2,17998
1,2016,3,15621,2,30,65.7,2,15498
1,2019,3,9983,1,145,39.8,3,29398
3,2013,1,53352,1,200,43.5,2,10420
2,2016,3,28099,2,145,55.4,2,17998
16,2016,3,20874,2,150,55.4,2,18998
1,2016,3,21037,2,20,68.9,1.5,14398
1,2017,1,17888,1,260,36.2,3,18998
5,2019,3,16466,2,145,60.1,2,26498
3,2015,3,25243,2,30,62.8,2,12998
16,2016,1,45484,2,125,58.9,2,15998
3,2019,3,9624,2,150,52.3,2,27998
1,2016,1,23879,2,30,62.8,2,14998
16,2017,3,17922,2,145,55.4,2,19998
1,2015,3,38279,2,125,60.1,2,13998
3,2015,1,40325,1,125,52.3,1.5,11998
5,2017,3,34296,2,145,65.7,2,21498
3,2017,3,44075,2,145,51.4,3,19698
3,2017,3,13102,2,145,51.4,3,21498
3,2016,1,49669,2,30,67.3,2,11998
3,2017,3,7926,2,145,56.5,3,20498
3,2017,3,33384,3,0,134.5,2,18298
3,2016,3,38417,2,30,67.3,2,13998
1,2019,3,10040,2,145,67.3,2,19298
3,2019,3,13579,2,145,48.7,2,26498
3,2013,3,74712,1,205,42.8,2,10998
3,2013,1,72315,2,30,61.4,2,10998
3,2013,1,44602,2,30,61.4,2,10998
20,2013,2,56003,2,300,38.2,3,16498
5,2015,3,88333,2,30,62.8,2,13498
1,2019,3,4061,1,145,54.3,1.5,21998
2,2017,3,27997,2,145,57.6,2,17998
1,2013,1,74772,2,30,65.7,2,7998
20,2019,3,16644,2,150,37.7,3,45995
16,2016,3,19850,2,145,55.4,2,19498
4,2018,3,8441,1,150,48.7,2,21498
1,2013,1,60741,2,30,65.7,2,8298
3,2019,3,10629,2,145,57.7,2,23498
3,2016,3,46673,2,0,74.3,2,13798
1,2014,3,30954,1,235,37.7,3,16998
1,2015,3,14501,2,0,78.5,1.5,12498
1,2018,1,10374,2,145,49.6,2,17498
1,2016,1,24382,2,20,70.6,1.5,14498
3,2017,3,28332,3,0,134.5,2,18998
3,2019,3,6160,1,150,44.8,2,20498
3,2019,3,11326,2,145,54.3,2,23298
3,2017,3,21784,2,145,56.5,3,21998
1,2013,1,73603,2,30,62.8,2,6998
3,2016,1,64308,2,20,68.9,2,11298
16,2016,3,20153,2,145,55.4,2,19498
3,2017,3,56785,2,145,51.4,3,19498
5,2014,3,34219,2,200,47.9,3,18750
18,2014,3,63000,2,145,54.3,2,15795
3,2015,3,46316,1,160,46.3,2,13995
16,2017,3,33534,2,150,55.4,2,17998
3,2016,1,16604,2,30,64.2,2,16295
3,2017,3,24909,2,145,62.8,2,17695
1,2018,1,19154,2,150,49.6,2,16998
2,2020,3,914,1,145,42.2,1.5,30000
8,2020,3,3000,2,145,40.4,3,63000
18,2013,3,47111,2,160,50.4,2,14000
18,2016,3,24002,2,145,54.3,2,21000
1,2020,1,2000,1,145,44.1,1.5,22000
1,2014,3,38689,1,235,37.7,3,15000
19,2020,3,1608,1,145,26.9,3,45500
3,2015,3,31915,2,145,53.3,3,16998
4,2017,3,28912,2,145,65.7,2,19498
5,2017,3,21068,2,145,62.8,2,20998
3,2017,3,34118,2,150,60.1,2,17998
3,2016,3,27146,2,150,56.5,3,17498
4,2017,2,37842,2,145,65.7,2,17410
2,2016,3,18245,2,145,55.4,2,18498
3,2018,3,16360,2,145,57.7,2,22998
3,2019,3,8273,2,145,48.7,2,26698
4,2016,1,24711,1,160,46.3,2,14998
3,2016,1,43400,2,125,58.9,2,14995
3,2019,3,7516,2,145,54.3,2,23498
4,2019,3,17740,2,145,65.7,2,21998
3,2019,3,8319,2,145,48.7,2,27298
3,2019,3,18526,2,145,48.7,2,26498
20,2016,2,83269,2,200,47.1,3,24998
1,2019,1,14847,2,150,72.4,1.5,14698
16,2017,2,33358,2,125,60.1,2,17998
1,2018,3,17063,1,145,36.7,2,17498
1,2013,1,34750,2,30,65.7,2,8998
20,2014,2,43946,2,265,42.2,3,27995
16,2016,3,21621,2,145,55.4,2,19998
5,2018,3,13197,3,140,156.9,2,27498
3,2015,3,87795,2,125,60.1,2,12498
1,2016,3,50525,2,30,65.7,2,13998
1,2016,3,42001,2,20,68.9,1.5,13498
1,2014,1,20990,2,30,64.2,2,11998
1,2014,2,56379,1,145,48.7,1.6,10998
3,2015,1,50730,2,20,68.9,2,12498
16,2016,1,29018,2,125,58.9,2,17698
3,2013,3,46121,2,30,62.8,2,9998
4,2017,3,16463,2,145,65.7,2,19498
3,2016,3,39239,3,0,134.5,2,17498
5,2018,3,15032,2,145,68.9,2,24498
16,2016,3,28813,2,145,55.4,2,18498
3,2019,3,6394,2,150,54.3,2,22998
